timestamp,accel_x,accel_y,accel_z,gravity_x,gravity_y,gravity_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z,orient_w,mag_x,mag_y,mag_z,mag_cal_x,mag_cal_y,mag_cal_z,label
1761152765.2224064,0.02992050163447857,-8.842106819152832,5.080501079559326,-0.15654516220092773,-8.68793773651123,4.553168773651123,-0.08797073364257812,-0.1276097446680069,0.012730431742966175,-0.3188294470310211,-0.40777453780174255,0.6834213137626648,0.5147843956947327,-95.8125,-0.0,-90.8499984741211,,,,Backward
1761152765.2377484,0.03111732192337513,-9.007267951965332,5.046990394592285,-0.1376662254333496,-8.679609298706055,4.5696330070495605,-0.024440744891762733,-0.12272282689809799,0.020060814917087555,-0.31715619564056396,-0.4080503582954407,0.684184730052948,0.5145854949951172,-95.83125305175781,-0.6000000238418579,-89.8812484741211,,,,Backward
1761152765.267429,0.040691882371902466,-8.840909957885742,5.0577616691589355,-0.12459039688110352,-8.67074203491211,4.586809158325195,0.0024373261258006096,-0.12272282689809799,0.040830232203006744,-0.3156481087207794,-0.4081469774246216,0.6850724220275879,0.5142550468444824,-96.51250457763672,-0.75,-90.3375015258789,,,,Backward
1761152765.2821054,0.0610378235578537,-8.812186241149902,5.062548637390137,-0.11149883270263672,-8.664047241210938,4.599777698516846,-0.020775552839040756,-0.11661417782306671,0.049382347613573074,-0.31426602602005005,-0.4084036648273468,0.6858572959899902,0.5138512253761292,-96.48750305175781,-0.2750000059604645,-90.1937484741211,,,,Backward
1761152765.3123438,0.08736786246299744,-8.899554252624512,5.051777362823486,-0.10082197189331055,-8.653005599975586,4.620761871337891,-0.011001708917319775,-0.10806205868721008,0.0530475378036499,-0.3127666413784027,-0.4082452654838562,0.6868218183517456,0.5136035680770874,-96.3812484741211,-0.5625,-90.8125,,,,Backward
1761152765.3284004,0.11848518252372742,-8.793037414550781,5.069729804992676,-0.09021663665771484,-8.640990257263184,4.643409252166748,0.03053712658584118,-0.0970664843916893,0.05915619060397148,-0.3112904131412506,-0.4079597592353821,0.687737762928009,0.5135015845298767,-96.34375,-0.3499999940395355,-90.83125305175781,,,,Backward
1761152765.343417,0.13045339286327362,-8.737983703613281,5.052974224090576,-0.08131647109985352,-8.628530502319336,4.666686058044434,0.042754434049129486,-0.05919284373521805,0.05671272799372673,-0.3099609911441803,-0.4075177013874054,0.6885606050491333,0.513554036617279,-96.5875015258789,-0.24375000596046448,-91.15625,,,,Backward
1761152765.3733292,0.15438978374004364,-8.674551963806152,5.033824920654297,-0.07359933853149414,-8.619720458984375,4.683066368103027,0.017098091542720795,-0.048197269439697266,0.05549100041389465,-0.30896395444869995,-0.40725040435791016,0.6891300082206726,0.513603150844574,-96.375,-0.53125,-91.14375305175781,,,,Backward
1761152765.3880758,0.16875162720680237,-8.594365119934082,5.043399810791016,-0.06738996505737305,-8.615907669067383,4.690171718597412,-0.030549397692084312,-0.021319197490811348,0.05426926910877228,-0.30838507413864136,-0.4072445333003998,0.6893908977508545,0.5136056542396545,-96.63750457763672,-0.3687500059604645,-90.67500305175781,,,,Backward
1761152765.4170735,0.14122477173805237,-8.662583351135254,5.008691787719727,-0.06159496307373047,-8.611711502075195,4.6979498863220215,-0.05131881684064865,-0.0005497788079082966,0.05182580649852753,-0.3078513443470001,-0.4071615934371948,0.6896098256111145,0.513697624206543,-96.45625305175781,-0.38750001788139343,-91.0062484741211,,,,Backward
